iter	Logloss
0	0.6662410269
1	0.6412871425
2	0.6184431206
3	0.5962377566
4	0.5752747593
5	0.5561923502
6	0.5390966495
7	0.5232209331
8	0.5073009749
9	0.4926731085
10	0.4789653822
11	0.4665073447
12	0.4547831888
13	0.4432935089
14	0.4326769641
15	0.4228126466
16	0.4138251847
17	0.4052541733
18	0.3971384906
19	0.3893249995
20	0.3817191697
21	0.375445912
22	0.3690295181
23	0.3633539713
24	0.3573049659
25	0.3524299706
26	0.3467467369
27	0.3419530302
28	0.3371663697
29	0.3330798698
30	0.328785924
31	0.3251677766
32	0.321312378
33	0.3178451141
34	0.314866785
35	0.3117052295
36	0.3088687652
37	0.3056724524
38	0.3031109094
39	0.3005475328
40	0.2979290476
41	0.295318298
42	0.2931972754
43	0.2912620977
44	0.2889767356
45	0.2869842118
46	0.2849390203
47	0.2833520406
48	0.2816106683
49	0.2800679939
50	0.2784576462
51	0.2768709481
52	0.2754880259
53	0.2742353985
54	0.2728840321
55	0.2716384691
56	0.2702173497
57	0.2690848773
58	0.2679602175
59	0.2669593881
60	0.2659101486
61	0.2649300594
62	0.2639707722
63	0.2631592328
64	0.2622250868
65	0.2613694169
66	0.2604949547
67	0.2596289071
68	0.2587870941
69	0.2581428548
70	0.2573520299
71	0.2567140421
72	0.2559427078
73	0.2552953693
74	0.2546295846
75	0.2541065242
76	0.2533957682
77	0.252779923
78	0.2521852427
79	0.2516241401
80	0.2511694475
81	0.2506853954
82	0.2501823064
83	0.2496297551
84	0.2491599926
85	0.2486905392
86	0.2482038575
87	0.2477625856
88	0.2473466478
89	0.2469103202
90	0.2465143782
91	0.2461264429
92	0.2457087189
93	0.2453695088
94	0.2450178809
95	0.2446966597
96	0.2443832934
97	0.2440623459
98	0.2436605175
99	0.2433786242
100	0.243080859
101	0.2427971621
102	0.2425002406
103	0.2421639538
104	0.2418840473
105	0.2416308393
106	0.2412912048
107	0.2410336216
108	0.2407050633
109	0.2403899552
110	0.2401691101
111	0.2399224411
112	0.239676684
113	0.239372881
114	0.2391294383
115	0.2388958263
116	0.2386997883
117	0.2384868728
118	0.2382624265
119	0.2380733354
120	0.2378800723
121	0.2376625243
122	0.2374763347
123	0.2372582485
124	0.2370803499
125	0.2368879472
126	0.2367163501
127	0.2364757978
128	0.2363038151
129	0.2361292946
130	0.2359460113
131	0.2357748497
132	0.2355405856
133	0.2353635569
134	0.235200744
135	0.2350309424
136	0.2348523675
137	0.2346580968
138	0.2345216035
139	0.2344011623
140	0.2342363142
141	0.2340788509
142	0.2339363394
143	0.2337994143
144	0.2336821713
145	0.2335497501
146	0.233427172
147	0.2332986794
148	0.2331692488
149	0.2330420658
150	0.232905811
151	0.2327984197
152	0.2326935287
153	0.2325876469
154	0.2324369551
155	0.2323073268
156	0.232193311
157	0.2320788189
158	0.2319598247
159	0.2318491356
160	0.231739563
161	0.2316235139
162	0.2315269858
163	0.2314282939
164	0.2313122264
165	0.2312064563
166	0.2311138776
167	0.2309973013
168	0.2308787946
169	0.2307535432
170	0.2306479915
171	0.2305530257
172	0.2304182592
173	0.2303358683
174	0.2302355853
175	0.2301440789
176	0.2300473925
177	0.2299438277
178	0.2298510652
179	0.2297334848
180	0.2296356845
181	0.2295523295
182	0.2294712614
183	0.2293915935
184	0.2293262791
185	0.2292493304
186	0.229162628
187	0.2291015424
188	0.2290268688
189	0.2289385945
190	0.2288461644
191	0.228736682
192	0.2286517356
193	0.2285724922
194	0.2284949105
195	0.2284135499
196	0.2283342094
197	0.2282565274
198	0.228177806
199	0.228098226
200	0.2280110884
201	0.2279275935
202	0.2278600124
203	0.2277932615
204	0.2277119363
205	0.2276320232
206	0.227568186
207	0.2274977818
208	0.2274295767
209	0.2273596815
210	0.2272786265
211	0.2271968266
212	0.2271326265
213	0.2270583871
214	0.2269912756
215	0.2269328407
216	0.2268637406
217	0.2267996027
218	0.2267204675
219	0.2266569846
220	0.226582596
221	0.2265178434
222	0.226443666
223	0.2263814578
224	0.2263190411
225	0.2262587124
226	0.2261997079
227	0.226142076
228	0.226060552
229	0.2260033294
230	0.2259424537
231	0.2258873714
232	0.2258403753
233	0.2257727399
234	0.225719249
235	0.2256609882
236	0.2256039429
237	0.2255439278
238	0.2254761313
239	0.2254203723
240	0.2253699883
241	0.2253185439
242	0.2252588568
243	0.225217507
244	0.2251649307
245	0.2251124823
246	0.2250560196
247	0.2250137444
248	0.2249588522
249	0.2249017771
250	0.2248458339
251	0.2247902904
252	0.2247379097
253	0.224689379
254	0.2246350769
255	0.2245938901
256	0.2245454141
257	0.2244897345
258	0.2244340157
259	0.2243866919
260	0.2243374974
261	0.2242909508
262	0.224239269
263	0.2241903967
264	0.2241416541
265	0.2240893123
266	0.2240350015
267	0.2239849266
268	0.223934294
269	0.2238764516
270	0.2238221065
271	0.2237723326
272	0.2237117516
273	0.2236639199
274	0.2236141251
275	0.2235478175
276	0.2235047851
277	0.2234682546
278	0.2234160873
279	0.2233611997
280	0.223317248
281	0.2232669606
282	0.2232168751
283	0.2231734488
284	0.2231252194
285	0.2230779699
286	0.2230363378
287	0.2229920595
288	0.222948408
289	0.2228924231
290	0.2228366767
291	0.2227851802
292	0.2227392879
293	0.2227010533
294	0.2226639356
295	0.2226188412
296	0.2225649538
297	0.2225225667
298	0.2224843146
299	0.2224428568
300	0.2224077453
301	0.2223722414
302	0.2223230743
303	0.2222803043
304	0.222236598
305	0.2222061335
306	0.2221673567
307	0.2221283172
308	0.2220912895
309	0.2220563515
310	0.2220154774
311	0.2219673502
312	0.2219366247
313	0.2218920388
314	0.2218520556
315	0.2218090106
316	0.2217650733
317	0.2217223679
318	0.221677887
319	0.2216371875
320	0.2216052091
321	0.2215628111
322	0.2215192339
323	0.2214759165
324	0.2214368609
325	0.221400488
326	0.2213721332
327	0.221338799
328	0.2213052207
329	0.2212652668
330	0.2212291255
331	0.2211882593
332	0.2211304625
333	0.2210955371
334	0.2210528742
335	0.2210220483
336	0.2209832263
