iter	Passed	Remaining
0	603	4522864
1	1198	4493956
2	1791	4476376
3	2358	4419906
4	2993	4487329
5	3543	4425941
6	4156	4448765
7	4695	4397079
8	5195	4324452
9	5786	4334193
10	6335	4313383
11	6945	4333862
12	7591	4372051
13	8214	4392377
14	8738	4360318
15	9352	4374583
16	9923	4367882
17	10495	4362636
18	11063	4356245
19	11661	4361429
20	12263	4367458
21	12856	4369931
22	13472	4379784
23	14013	4365299
24	14639	4377103
25	15244	4382290
26	15961	4417831
27	16489	4400345
28	17096	4404481
29	17571	4375315
30	18160	4375501
31	18765	4379431
32	19366	4382203
33	19851	4359201
34	20431	4357693
35	21032	4360793
36	21536	4344032
37	22159	4351368
38	22742	4350871
39	23322	4349654
40	23924	4352554
41	24436	4339138
42	24939	4324986
43	25513	4323443
44	26130	4328986
45	26695	4325866
46	27299	4329066
47	27804	4316669
48	28405	4319309
49	29052	4328834
50	29651	4330864
51	30174	4321864
52	30881	4339094
53	31410	4331226
54	31988	4330142
55	32596	4332997
56	33201	4335432
57	33782	4334668
58	34295	4325358
59	34856	4322144
60	35410	4318371
61	35921	4309448
62	36405	4297556
63	36935	4291419
64	37470	4286091
65	38044	4285183
66	38650	4287889
67	39264	4291398
68	39856	4292393
69	40417	4290076
70	41016	4291720
71	41578	4289548
72	42154	4288739
73	42737	4288726
74	43271	4283856
75	43756	4274277
76	44355	4275949
77	44813	4264169
78	45518	4275900
79	46043	4270517
80	46489	4258091
81	47046	4255950
82	47613	4254832
83	48233	4258316
84	48725	4250595
85	49325	4252345
86	49872	4249514
87	50372	4242766
88	50940	4241768
89	51514	4241324
90	52088	4240892
91	52571	4233158
92	53064	4226352
93	53632	4225548
94	54112	4217923
95	54637	4213882
96	55203	4213111
97	55754	4211184
98	56236	4204111
99	56759	4200188
100	57304	4197961
101	57880	4198010
102	58389	4193284
103	58974	4193973
104	59536	4193056
105	60067	4189961
106	60691	4193394
107	61309	4196288
108	61813	4191434
109	62344	4188405
110	62893	4186694
111	63448	4185334
112	64012	4184610
113	64621	4186816
114	65212	4187807
115	65735	4184419
116	66297	4183534
117	66808	4179473
118	67299	4174265
119	67867	4173847
120	68430	4173138
121	68922	4168139
122	69513	4169087
123	70090	4169274
124	70625	4166898
125	71223	4168266
126	71804	4168596
127	72395	4169521
128	72953	4168502
129	73532	4168721
130	74199	4173839
131	74697	4169499
132	75265	4169007
133	75796	4166551
134	76340	4164821
135	76902	4164067
136	77504	4165430
137	78101	4166551
138	78650	4165055
139	79111	4158981
140	79599	4154392
141	80198	4155630
142	80801	4157053
143	81355	4155930
144	81836	4151072
145	82443	4152692
146	82928	4148110
147	83403	4143117
148	83921	4140291
149	84408	4136035
150	84911	4132537
151	85454	4131061
152	86022	4130770
153	86588	4130388
154	87153	4129956
155	87691	4128259
156	88346	4132007
157	88900	4131080
158	89475	4131078
159	90018	4129581
160	90592	4129577
161	91127	4127758
162	91647	4125254
163	92128	4121069
164	92754	4123361
165	93271	4120781
166	93751	4116647
167	94268	4114163
168	94877	4115642
169	95367	4112035
170	95939	4111913
171	96436	4108634
172	96948	4106012
173	97472	4103948
174	98053	4104233
175	98587	4102591
176	99029	4097152
177	99620	4097866
178	100101	4094101
179	100594	4090827
180	101149	4090116
181	101698	4089162
182	102349	4092312
183	102869	4090194
184	103370	4087309
185	103822	4082560
186	104391	4082417
187	104885	4079385
188	105445	4078888
189	105974	4077215
190	106554	4077525
191	107067	4075240
192	107654	4075798
193	108133	4072300
194	108715	4072658
195	109275	4072193
196	109804	4070553
197	110394	4071226
198	110997	4072308
199	111472	4068741
200	112006	4067357
201	112515	4065034
202	113023	4062736
203	113600	4062873
204	114109	4060616
205	114689	4060905
206	115181	4058055
207	115713	4056656
208	116350	4058894
209	116832	4055748
210	117403	4055693
211	117890	4052752
212	118359	4049216
213	118930	4049191
214	119461	4047809
215	119919	4043965
216	120510	4044615
217	121001	4041898
218	121590	4042458
219	122146	4041935
220	122745	4042823
221	123288	4041866
222	123784	4039384
223	124291	4037268
224	124775	4034392
225	125329	4033839
226	125921	4034464
227	126458	4033362
228	126983	4031866
229	127457	4028764
230	128054	4029562
231	128508	4025858
232	129037	4024525
233	129601	4024290
234	130261	4027026
235	130861	4027870
236	131437	4027971
237	131910	4024920
238	132395	4022260
239	132968	4022290
240	133451	4019616
241	134021	4019543
242	134481	4016170
243	134995	4014444
244	135592	4015184
245	136105	4013449
246	136686	4013717
247	137207	4012200
248	137716	4010375
249	138220	4008408
250	138795	4008469
251	139433	4010365
252	139929	4008168
253	140365	4004298
254	140867	4002288
255	141361	4000076
256	141917	3999634
257	142409	3997406
258	142933	3996066
259	143452	3994592
260	144044	3995162
261	144609	3994981
262	145231	3996345
263	145761	3995180
264	146292	3994068
265	146798	3992250
266	147322	3990950
267	147893	3990917
268	148458	3990722
269	149059	3991495
270	149611	3990914
271	150211	3991640
272	150783	3991613
273	151305	3990276
274	151777	3987608
275	152335	3987213
276	152842	3985488
277	153326	3983189
278	153833	3981469
279	154406	3981482
280	154993	3981834
281	155550	3981442
282	156048	3979521
283	156657	3980420
284	157168	3978834
285	157678	3977241
286	158360	3979986
287	158885	3978747
288	159451	3978564
289	160033	3978759
290	160613	3978916
291	161194	3979073
292	161696	3977290
293	162157	3974509
294	162670	3973026
295	163196	3971854
296	163762	3971661
297	164335	3971616
298	164876	3970822
299	165337	3968102
300	165808	3965621
301	166344	3964725
302	166908	3964485
303	167446	3963645
304	167945	3961856
305	168416	3959437
306	169014	3959993
307	169511	3958203
308	170108	3958740
309	170623	3957373
310	171123	3955658
311	171716	3956078
312	172253	3955233
313	172809	3954804
314	173401	3955216
315	173926	3954071
316	174409	3951992
317	174891	3949907
318	175455	3949675
319	176019	3949448
320	176549	3948444
321	177115	3948251
322	177651	3947379
323	178170	3946154
324	178724	3945682
325	179325	3946262
326	179832	3944774
327	180282	3942032
328	180862	3942137
329	181443	3942268
330	181981	3941476
331	182555	3941443
332	183130	3941432
333	183660	3940453
334	184168	3938997
335	184707	3938219
336	185201	3936501
337	185794	3936864
338	186427	3938083
339	186906	3936041
340	187482	3936037
341	188020	3935228
342	188541	3934087
343	189169	3935173
344	189756	3935384
345	190369	3936138
346	190888	3934938
347	191349	3932561
348	191857	3931148
349	192399	3930446
350	192851	3927900
351	193410	3927553
352	193899	3925772
353	194440	3925063
354	194976	3924254
355	195493	3923043
356	196060	3922853
357	196688	3923886
358	197277	3924115
359	197859	3924208
360	198420	3923885
361	198958	3923109
362	199447	3921367
363	199943	3919778
364	200580	3920943
365	201090	3919607
366	201564	3917594
367	202046	3915741
